"title","type","year","author"
"Undead or Alive","Film",2007,"Glasgow Phillips"
"Urban Decay","Film",2007,"Harry Basil"
"Wasting Away (Aaah! Zombies!!)","Film",2007,"Matthew Kohnen"
"Zombies! Zombies! Zombies!","Film",2007,"Jason M. Murphy"
"Zombie Hunters: City of the Dead #1","TV Show",2007,"Patrick Devaney"
"Zombie Hunters: City of the Dead #2","TV Show",2007,"Patrick Devaney"
"Zombie Town","Film",2007,"Damon Lemay"
"Fido","Film",2006,"Andrew Currie"
"Zombie Night 2: Awakening","Film",2006,"David J. Francis"
"Zombie Outbreak","Film",2006,"Sarah N. Stennett"
"Forbidden Siren (Sairen)","Film",2006,"Yukihiko Tsutsumi"
"Zombie Self-Defense Force (Zonbi jieitai)","Film",2006,"Naoyuki Tomomatsu"
"Black Sheep","Film",2006,"Jonathan King"
"The Zombie Diaries","Film",2006,"Michael Bartlett, Kevin Gates"
"Zombie Self-Defense Force/Zonbi jieitai","Film",2006,"Naoyuki Tomomatsu"
"After Sundown","Film",2006,"Christopher Abram, Michael W. Brown"
"Automaton Transfusion","Film",2006,"Steven C. Miller"
"City of Rott","Film",2006,"Frank Sudol"
"Dead & Deader","Film",2006,"Patrice Dinhut"
"Last Rites/Gangs of the Dead","Film",2006,"Duane Stinnett"
"Dead Eyes Open","Film",2006,"Ralf Möllenhoff"
"Dead in the Water","Film",2006,"Marc Buhmann"
"Hood of Horror (Gang of Horror, Snoop Dogg's Hood of Horror)","Film",2006,"Stacy Title"
"Horrors of War","Film",2006,"Peter John Ross, John Whitney"
"Mulberry Street","Film",2006,"Jim Mickle"
"Night of the Dead (Night of the Leben Tod)","Film",2006,"Eric Forsberg"
"Pathogen","Film",2006,"Emily Hagins"
"Poultrygeist: Night of the Chicken Dead","Film",2006,"Lloyd Kaufman"
"Shadow: Dead Riot","Film",2006,"Derek Wan"
"Slither","Film",2006,"James Gunn"
"Special Dead","Film",2006,"Thomas L. Phillips, Sean Simmons"
"The Plague/Clive Barker's The Plague","Film",2006,"Hal Masonberg"
"The Quick and the Undead","Film",2006,"Gerald Nott"
"Wicked Little Things","Film",2006,"Joseph S. Cardone"
"Zombie Wars","Film",2006,"David A. Prior"
"Severed: Forest of the Dead","Film",2005,"Carl Bessai"
"Evil","Film",2005,"Yorgos Noussias"
"Boy Eats Girl","Film",2005,"Stephen Bradley"
"Tokyo Zombie","Film",2005,"Sakichi Sato"
"House of the Dead II","Film",2005,"Michael Hurst"
"Return of the Living Dead: Necropolis","Film",2005,"Ellory Elkayem"
"Return of the Living Dead: Rave to the Grave","Film",2005,"Ellory Elkayem"
"Beneath Still Waters","Film",2005,"Brian Yuzna"
"Die Zombiejager","Film",2005,"Jonas Wolcher"
"Doom","Film",2005,"Andrzej Bartkowiak"
"Tokyo Zombie","Film",2005,"Sakichi Sato"
"All Souls Day","Film",2005,"Jeremy Kasten"
"Bubba's Chili Parlor","Film",2005,"Joey Evans"
"Day of the Dead 2: Contagium","Film",2005,"Ana Clavell, James Glenn Dudelson"
"Dead Men Walking","Film",2005,"Peter Mervis"
"Dead Things, segment ""The Wish""","Film",2005,"D.T. Carney"
"Die You Zombie Bastards!","Film",2005,"Caleb Emerson"
"Hood of the Living Dead","Film",2005,"Eduardo Quiroz, Jose Quiroz"
"Land of the Dead","Film",2005,"George A. Romero"
"Livelihood","Film",2005,"Ryan Graham"
"Mortuary","Film",2005,"Tobe Hooper"
"Swamp Zombies!!!","Film",2005,"Len Kabasinski"
"The Roost","Film",2005,"Ti West"
"The Stink of Flesh","Film",2005,"Scott Phillips"
"Zombie Hunter","Film",2005,"Geoff Hamby"
"Zombiez","Film",2005,"John Bacchus"
"Season of the Witch","Film",2005,"Dominic Sena"
"The Devil's Rejects","Film",2005,"Rob Zombie"
"Graveyard Alive: A Zombie Nurse in Love","Film",2004,"Elza Kephart"
"Vampires vs. Zombies/Carmilla the Lesbian Vampire","Film",2004,"Vince D'Amato"
"Zombie King and the Legion of Doom (Zombie Beach Party, Enter … Zombie King)","Film",2004,"Stacey Case"
"Choking Hazard","Film",2004,"Marek Dobes"
"They Came Back","Film",2004,"Robin Campillo"
"Die Nacht der lebenden Loser/Night of the Living Dorks","Film",2004,"Mathias Dinter"
"Zombie Nation","Film",2004,"Ulli Lommel"
"Shaolin vs. Evil Dead/Shao lin jiang shi, Siu lam geung see","Film",2004,"Douglas Kung"
"Dead Meat","Film",2004,"Conor McMahon"
"Oh! My Zombie Mermaid","Film",2004,"Naoki Kubo"
"Worst Case Scenario/Woensdag Gehaktdag","Film",2004,"Richard Raaphorst"
"SARS Wars","Film",2004,"Taweewat Wantha"
"Shaun of the Dead","Film",2004,"Edgar Wright"
"Dead Girl Walking","Film",2004,"Kôji Shiraishi, Kazuhiro Yokoyama"
"Sars Wars","Film",2004,"Taweewat Wantha"
"Suriyakhaat/Curse of the Sun","Film",2004,"Kittipong Panyataweesap, Anat Yuangngern"
"Shaolin vs. Evil Dead","Film",2004,"Douglas Kung"
"Â! Ikkenya puroresu","Film",2004,"Naoki Kubo, Terry Ito"
"Bone Sickness","Film",2004,"Brian Paulin"
"Curse of the Maya (Dawn of the Living Dead, Evil Grave: Curse of the Maya)","Film",2004,"David Heavener"
"Dawn of the Dead","Film",2004,"Zack Snyder"
"Dead & Breakfast","Film",2004,"Matthew Leutwyler"
"Gay By Dawn","Film",2004,"Jonathan London"
"Hide and Creep","Film",2004,"Chuck Hartsell, Chance Shirley"
"Re-Penetrator","Film",2004,"Doug Sakmann"
"Resident Evil 2: Apocalypse","Film",2004,"Alexander Witt"
"Song of the Dead","Film",2004,"Chip Gubera"
"The Lost Tape: Andy's Terrifying Last Days Revealed","Film",2004,"Zack Snyder"
"Zombie Honeymoon","Film",2004,"David Gebroe"
"Zombie Vegetarians","Film",2004,"Mad Martian"
"Undead","Film",2003,"The Spierig Brothers, Peter Spierig/Michael Spierig"
"Exhumed","Film",2003,"Brian Clement"
"Zombie Night","Film",2003,"David J. Francis"
"House of the Dead","Film",2003,"Uwe Boll"
"Battlefield Baseball","Film",2003,"Yudai Yamaguchi"
"Beyond Re-Animator","Film",2003,"Brian Yuzna"
"I'll See You in My Dreams","Film",2003,"Miguel Angel Vivas"
"The Naked and the Living Dead: Shin kaidan zangyaku hidô: onna keiji to ratai kaibôki","Film",2003,"Seiji Yamada"
"Battlefield Baseball/Jigoku Kôshien","Film",2003,"Yudai Yamaguchi"
"Blood of the Beast","Film",2003,"Georg Koszulinski"
"Boot Hill Blind Dead","Film",2003,"Chris Mackey, Alana Smithe"
"Goregoyles: First Cut, segment ""Berserkers""","Film",2003,"Kevin J. Lindenmuth"
"Gory Gory Hallelujah","Film",2003,"Sue Corcoran"
"Living Dead Girl","Film",2003,"Jon Springer"
"The Ghouls (Cannibal Dead: The Ghouls, Urban Cannibals)","Film",2003,"Chad Ferrin"
"Zombie Planet","Film",2003,"George Bonilla"
"Zombie Valley","Film",2003,"Darin Beckstead"
"Zombiegeddon","Film",2003,"Chris Watson"
"Xombie (a.k.a. Xombie: Dead on Arrival)","TV Show",2003,"James Farr"
"Corpses Are Forever","Film",2003,"Jose Prendes"
"Night of the Not So Living Dead Guy (a.k.a. Night of the not so living Dead Guy!)","Film",2002,"Michael Kessler"
"Ritual (Tales from the Crypt: Ritual)","Film",2002,"Avi Nesher"
"28 Days Later","Film",2002,"Danny Boyle"
"Deathwatch","Film",2002,"Michael J. Bassett"
"Walk Like a Zombie","Film",2002,"Jeong-gu Kim, Seol-woo Kim"
"Necropolis Awakened","Film",2002,"Garrett White"
"Resident Evil","Film",2002,"Paul W.S. Anderson"
"Plaga Zombie: Zona Mutante","Film",2001,"Pablo Pares, Hernan Saez"
"Meat Market 2","Film",2001,"Brian Clement"
"Route 666","Film",2001,"William Wesley"
"Ritual","Film",2001,"Avi Nesher"
"Stacy","Film",2001,"Naoyuki Tomomatsu"
"Mulva: Zombie Ass Kicker!","Film",2001,"Chris Seaver"
"The Happiness of the Katakuris/Katakuri-ke no kôfuku","Film",2001,"Takashi Miike"
"Biohazardous","Film",2001,"Michael J. Hein"
"Children of the Living Dead","Film",2001,"Tor Ramsey"
"Zombie Chronicles","Film",2001,"Brad Sykes"
"Meat Market","Film",2000,"Brian Clement"
"Junk (Shiryo-gari)","Film",2000,"Atsushi Muroga"
"Versus/Vasasu","Film",2000,"Ryuhei Kitamura"
"Wild Zero","Film",2000,"Tetsuro Takeuchi"
"Oh! My Zombie Mermaid/Sheng hua te jing: Sang shi ren wu","Film",2000,"Wai-Man Cheng"
"Zombie Snake","Film",2000,"Atsushi Shimizu"
"All of the Dead","Film",2000,"Tony Mines, Tim Drage"
"Machine Head","Film",2000,"Michael Leonard Murphy"
"The Dead Hate the Living!","Film",2000,"Dave Parker"
"Violent Shit III: Infantry of Doom (Zombie Doom)","Film",1999,"Andreas Schnaas"
"Pepeng Agimat","Film",1999,"Felix E. Dalay"
"I, Zombie: The Chronicles of Pain (I, Zombie)","Film",1999,"Andrew Parkinson"
"Zombie! vs. Mardi Gras","Film",1999,"Will Frank, Karl DeMolay"
"Wild Zero","Film",1999,NA
"Bio-Zombie/Sun faa sau si","Film",1998,"Wilson Yip"
"Scooby-Doo on Zombie Island","Film",1998,"Hiroshi Aoyama, Kazumi Fukushima"
"Premutos: The Fallen Angel","Film",1997,"Olaf Ittenbach"
"Down to Hell","Film",1997,"Ryûhei Kitamura"
"House of the Damned","Film",1996,"Sean Weathers"
"Uncle Sam","Film",1996,"William Lustig"
"Female Mercenaries on Zombie Island","Film",1995,"Gary Whitson"
"Legion of the Night","Film",1995,"Matt Jaissle"
"Voodoo","Film",1995,"Rene Eram"
"Cemetery Man (Dellamorte Dellamore)","Film",1994,"Michele Soavi"
"Shatter Dead","Film",1994,"Scooter McCrae"
"The Heroic Trio","Film",1993,"Johnie To"
"Return of the Living Dead 3","Film",1993,"Brian Yuzna"
"Ed and His Dead Mother","Film",1993,"Jonathan Wacks"
"Ghost Brigade","Film",1993,"George Hickenlooper"
"My Boyfriend's Back","Film",1993,"Bob Balaban"
"Ozone","Film",1993,"J.R. Bookwalter"
"Weekend at Bernie's II","Film",1993,"Robert Klane"
"Zombie Bloodbath","Film",1993,"Todd Sheets"
"Dead Alive","Film",1993,"Peter Jackson"
"Hocus Pocus","Film",1993,"Kenny Ortega"
"Braindead (Dead Alive)","Film",1992,"Peter Jackson"
"Waxwork II: Lost in Time","Film",1992,"Anthony Hickox"
"Army of Darkness","Film",1992,"Sam Raimi"
"Pet Sematary Two","Film",1992,"Mary Lambert"
"Black Demons","Film",1991,"Umberto Lenzi"
"Zombie 5: Killing Birds (Uccelli assassini)","Film",1991,"Claudio Lattanzi"
"Batoru gâru","Film",1991,"Kazuo 'Gaira' Komizu"
"Battle Girl: The Living Dead in Tokyo Bay","Film",1991,"Kazuo Komizu"
"Bride of Re-Animator","Film",1991,"Brian Yuzna"
"Chopper Chicks in Zombietown","Film",1991,"Dan Hoskins"
"Netherworld","Film",1991,"David Schmoeller"
"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D","Film",1991,"James Riffel"
"Nudist Colony of the Dead","Film",1991,"Mark Pirro"
"Teenage Exorcist","Film",1991,"Grant Austin Waldman"
"Mortuary Blues","Film",1990,"Jeffrey Lau"
"Frankenhooker","Film",1990,"Frank Henenlotter"
"Maniac Cop 2","Film",1990,"William Lustig"
"Night of the Living Bread","Film",1990,"Kevin S. O'Brien"
"Night of the Living Dead","Film",1990,"Tom Savini"
"The Boneyard","Film",1990,"James Cummins"
"Voodoo Dawn","Film",1990,"Steven Fierberg"
"Night Life","Film",1989,"David Acomba"
"Beverly Hills Bodysnatchers","Film",1989,"Jonathan Mostow"
"C.H.U.D. II: Bud the C.H.U.D.","Film",1989,"David Irving"
"The Dead Pit","Film",1989,"Brett Leonard"
"The Vineyard","Film",1989,"James Hong"
"Pet Sematary","Film",1989,"Mary Lambert"
"Zombi 3 (Zombie Flesh Eaters 2)","Film",1988,"Lucio Fulci, Bruno Mattei"
"Zombie 4: After Death (Oltre la morte, Zombie Flesh Eaters 3)","Film",1988,"Claudio Fragasso"
"The Discarnates (Summer Among the Zombies, Ijintachi tono natsu)","Film",1988,"Nobuhiko Obayashi"
"Waxwork","Film",1988,"Anthony Hickox"
"Dead Heat","Film",1988,"Mark Goldblatt"
"Flesheater (Zombie Nosh)","Film",1988,"Bill Hinzman"
"Maniac Cop","Film",1988,"William Lustig"
"Return of the Living Dead Part II","Film",1988,"Ken Wiederhorn"
"The Dead Next Door","Film",1988,"J.R. Bookwalter"
"The Serpent and the Rainbow","Film",1988,"Wes Craven"
"La Revanche des Mortes Vivantes","Film",1987,"Pierre B. Reinhard"
"Evil Dead II","Film",1987,"Sam Raimi"
"I Was a Teenage Zombie","Film",1987,"John Elias Michalakis"
"Killing Spree","Film",1987,"Tim Ritter"
"Prince of Darkness (John Carpenter's Prince of Darkness)","Film",1987,"John Carpenter"
"Redneck Zombies","Film",1987,"Pericles Lewnes"
"The Video Dead","Film",1987,"Robert Scott"
"Zombie High","Film",1987,"Ron Link"
"House II: The Second Story","Film",1987,"Ethan Wiley"
"Zombie Nightmare","Film",1986,"Jack Bravman"
"The Rape After","Film",1986,"Ho Meng Hua, Moon-Tong Lau"
"The Supernaturals","Film",1986,"Armand Mastroianni"
"Zombie Brigade","Film",1986,"Carmelo Musca, Barrie Pattison"
"Deadly Friend","Film",1986,"Wes Craven"
"Night of the Creeps","Film",1986,"Fred Dekker"
"Night of the Creeps","Film",1986,"Fred Dekker"
"Raiders of the Living Dead","Film",1986,"Samuel M. Sherman"
"The Stories of Grandmother Basyang (Mga Kuwento ni Lola Basyang)","Film",1985,"Maryo J. De los Reyes"
"Day of the Dead","Film",1985,"George A. Romero"
"Re-Animator","Film",1985,"Stuart Gordon"
"The Return of the Living Dead","Film",1985,"Dan O'Bannon"
"Warning Sign","Film",1985,"Hal Barwood"
"Bloodsuckers from Outer Space","Film",1984,"Glen Coburn"
"Mutant","Film",1984,"John Cardos"
"Night of the Comet","Film",1984,"Thom Eberhardt"
"Surf II","Film",1984,"Randall Badat"
"C.H.U.D.","Film",1984,"Douglas Cheek"
"Zeder (Revenge of the Dead)","Film",1983,"Pupi Avati"
"Wilczyca (The Wolf, She-Wolf)","Film",1983,"Marek Piestrak"
"Hysterical","Film",1983,"Chris Bearde"
"One Dark Night","Film",1983,"Tom McLoughlin"
"La Morte Vivante","Film",1982,"Jean Rollin"
"Mansion of the Living Dead","Film",1982,"Jesus Franco"
"Oasis of the Zombies","Film",1982,"Jesus Franco"
"Creepshow","Film",1982,"George A. Romero"
"I Was a Zombie for the F.B.I.","Film",1982,"Marius Penczner"
"Kung Fu Zombie/Wu long tian shi zhao ji gui","Film",1981,"Hwa I Hung"
"Dawn of the Mummy","Film",1981,"Frank Agrama"
"Zombie Lake","Film",1981,"Jean Rollin, Jesus Franco"
"Burial Ground: The Nights of Terror","Film",1981,"Andrea Bianchi"
"Hell of the Living Dead/Night of the Zombies","Film",1981,"Bruno Mattei"
"The Beyond","Film",1981,"Lucio Fulci"
"The House by the Cemetery","Film",1981,"Lucio Fulci"
"Oasis of the Zombies","Film",1981,"Jesus Franco"
"Heavy Metal, segment ""B-17""","Film",1981,"Gerald Potterton"
"Dead & Buried","Film",1981,"Gary Sherman"
"E tu vivrai nel terrore","Film",1981,"Lucio Fulci"
"Frankenstein Island","Film",1981,"Jerry Warren"
"Kiss Daddy Goodbye/Revenge of the Zombie","Film",1981,"Patrick Regan"
"The Evil Dead","Film",1981,"Sam Raimi"
"City of the Living Dead","Film",1980,"Lucio Fulci"
"Erotic Nights of the Living Dead/Sexy Nights of the Living Dead","Film",1980,"Joe D'Amato"
"Incubo sulla città contaminata/City of the Walking Dead","Film",1980,"Umberto Lenzi"
"Zombie Holocaust/Zombi Holocaust","Film",1980,"Marino Girolami"
"Alien Dead","Film",1980,"Fred Olen Ray"
"Don't Go in the House","Film",1980,"Joseph Ellison"
"Frozen Scream","Film",1980,"Frank Roach"
"The Children","Film",1980,"Max Kalmanowicz"
"Toxic Zombies","Film",1980,"Charles McCrann"
"The Fog","Film",1980,"John Carpenter"
"Zombi 2/Zombie, Zombie Flesh Eaters","Film",1979,"Lucio Fulci"
"Les Raisins de la Mort/The Grapes of Death, Pesticide","Film",1978,"Jean Rollin"
"Dawn of the Dead","Film",1978,"George A. Romero"
"Within the Woods","Film",1978,"Sam Raimi"
"Shock Waves","Film",1977,"Ken Wiederhorn"
"Black Magic 2","Film",1976,"Ho Meng Hua"
"Night of the Seagulls","Film",1975,"Amando de Ossorio"
"The Cross of the Devil","Film",1975,"John Gilling"
"Let Sleeping Corpses Lie","Film",1974,"Jorge Grau"
"The Ghost Galleon","Film",1974,"Amando de Ossorio"
"No profanar el sueño de los muertos","Film",1974,"Jorge Grau"
"Garden of the Dead","Film",1974,"John Hayes"
"Sugar Hill","Film",1974,"Paul Maslansky"
"The House of Seven Corpses","Film",1974,"Paul Harrison"
"Vengeance of the Zombies/La rebelión de las muertas","Film",1973,"León Klimovsky"
"Curse of the Living Dead/Les Demoniaques","Film",1973,"Jean Rollin"
"A Virgin Among the Living Dead","Film",1973,"Jesus Franco"
"Horror Express/Pánico en el Transiberiano","Film",1973,"Eugenio Martin"
"Return of the Blind Dead","Film",1973,"Amando de Ossorio"
"The Hanging Woman/Return of the Zombies","Film",1973,"Jose Luis Merino"
"House of the Living Dead/Doctor Maniac","Film",1973,"Ray Austin"
"The Legend of the 7 Golden Vampires","Film",1973,"Roy Ward Baker"
"The Hidan of Maukbeiangjow","Film",1973,"Lee S. Jones"
"Baron Blood/Gli orrori del castello di Norimberga","Film",1972,"Mario Bava"
"Horror Rises from the Tomb","Film",1972,"Carlos Aured"
"Blood of Ghastly Horror","Film",1972,"Al Adamson"
"Children Shouldn't Play with Dead Things","Film",1972,"Bob Clark"
"Deathdream","Film",1972,"Bob Clark"
"Messiah of Evil","Film",1972,"Willard Huyck, Gloria Katz"
"Tombs of the Blind Dead","Film",1971,"Amando de Ossorio"
"I Drink Your Blood","Film",1970,"David E. Durston"
"Isle of the Snake People/La muerte viviente","Film",1968,"Juan Ibanez"
"Night of the Living Dead","Film",1968,"George A. Romero"
"The Astro-Zombies","Film",1968,"Ted V. Mikels"
"The Plague of the Zombies","Film",1966,"John Gilling"
"Terror-Creatures from the Grave/5 tombe per un medium, Cemetery of the Living Dead","Film",1965,"Massimo Pupillo"
"The Last Man on Earth/L'ultimo uomo della Terra","Film",1964,"Ubaldo Ragona"
"War of the Zombies/Rome Against Rome","Film",1964,"Giuseppe Vari"
"The Earth Dies Screaming","Film",1964,"Terence Fisher"
"I Eat Your Skin/Zombies","Film",1964,"Del Tenney"
"The Horror of Party Beach","Film",1964,"Del Tenney"
"The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies","Film",1964,"Ray Dennis Steckler"
"Monstrosity","Film",1963,"Joseph Mascelli"
"Santo vs. the Zombies/Invasion of the Zombies","Film",1962,"Benito Alazraki"
"Tales of Terror","Film",1962,"Roger Corman"
"Doctor Blood's Coffin","Film",1961,"Sidney J. Furie"
"The Curse of the Doll People/Muñecos infernales","Film",1961,"Benito Alazraki"
"The Dead One/El Muerto","Film",1961,"Barry Mahon"
"Invisible Invaders","Film",1959,"Edward L. Cahn"
"Plan 9 from Outer Space","Film",1959,"Ed Wood"
"Teenage Zombies","Film",1959,"Jerry Warren"
"The Four Skulls of Jonathan Drake","Film",1959,"Edward L. Cahn"
"Voodoo Island","Film",1957,"Reginald LeBorg"
"The Woman Eater","Film",1957,"Charles Saunders"
"The Undead","Film",1957,"Roger Corman"
"Zombies of Mora Tau","Film",1957,"Edward L. Cahn"
"The Undead","Film",1957,"Roger Corman"
"Creature with the Atom Brain","Film",1955,"Edward L. Cahn"
"Valley of the Zombies","Film",1946,"Philip Ford"
"Isle of the Death","Film",1945,"Mark Robson"
"Zombies on Broadway/Loonies on Broadway","Film",1945,"Gordon Dines, Gordon M. Douglas"
"Voodoo Man","Film",1944,"William Beaudine"
"I Walked with a Zombie","Film",1943,"Jacques Tourneur"
"Revenge of the Zombies","Film",1943,"Steve Sekely"
"Bowery at Midnight","Film",1942,"Wallace Fox"
"King of the Zombies","Film",1941,"Jean Yarbrough"
"The Ghost Breakers","Film",1940,"George Marshall"
"Wanli Xingshi","Film",1939,"Toi Wong, Fok Yin"
"The Devil's Daughter/Pocomania","Film",1939,"Arthur H. Leonard"
"Revolt of the Zombies","Film",1936,"Victor Halperin"
"White Zombie","Film",1932,"Victor Halperin"
